#,Investor Name,HQ Country,HQ City,Latitude,Longitude,Closest FUA
1,Plus Impact,Sweden,Stockholm,59.3251172,18.0710935,Stockholm
2,1Kubator,France,Lyon,45.7578137,4.8320114,Lyon
3,5starts,Austria,Vienna,48.2083537,16.3725042,Wien
4,21st by CentraleSupélec,France,Gif-Sur-Yvette,48.7018823,2.134529,Paris
5,70Ventures,Lithuania,Vilnius,54.6870458,25.2829111,Vilnius
6,321founded,France,Paris,48.8534951,2.3483915,Paris
7,A1 Start Up Campus,Austria,Vienna,48.2083537,16.3725042,Wien
8,Accelerace,Denmark,Copenhagen,55.6867243,12.5700724,København
9,AccelGrow,Spain,Barcelona,41.3828939,2.1774322,Barcelona
10,Accelpoint,Poland,Warsaw,52.2319581,21.0067249,Warszawa
11,Acciona I'mnovation,Spain,Alcobendas,40.5400082,-3.6358494,Madrid
12,Acciona Imnovation,Spain,Madrid,40.4167047,-3.7035825,Madrid
14,Agoranov,France,Paris,48.8534951,2.3483915,Paris
15,Agro Innovation Lab,Austria,Gemeinde Wien,48.294579,16.4679227,Wien
16,AgTechUCD Agccelerator Pr…,Ireland,Dublin,53.3493795,-6.2605593,Dublin
17,Airbus Bizlabs,France,Colomiers,43.6121001,1.3282149,Toulouse
18,Airbus Bizlabs (closed),France,Colomiers,43.6121001,1.3282149,Toulouse
19,Alhambra Venture,Spain,Peligros,37.2306631,-3.6279744,Granada
20,Antai Venture Builder,Spain,Barcelona,41.3828939,2.1774322,Barcelona
21,Antai Ventures,Spain,Barcelona,41.3828939,2.1774322,Barcelona
22,Arctic Business Incubator,Sweden,Lulea,65.5831187,22.1459535,Oulu/Uleåborg
23,Arete Investment,Hungary,Budapest,47.4978789,19.0402383,Budapest
24,Arkley Launchpad,Poland,Warsaw,52.2319581,21.0067249,Warszawa
25,Astropreneurs,Portugal,Coimbra,40.2111931,-8.4294632,Coimbra
26,Axel Springer Plug and Play …,Germany,Berlin,52.510885,13.3989367,Berlin
27,Axeltim,France,Lyon,45.7578137,4.8320114,Lyon
28,B Accelerator Tower (BAT),Spain,Bilbao,43.2630018,-2.9350039,Bilbao
29,B4i - Bocconi for innovation,Italy,Milan,45.4641943,9.1896346,Milano
30,Baltic Sandbox,Lithuania,Vilnius,54.6870458,25.2829111,Vilnius
31,Bar Lab by Mahou San Miguel,Spain,Madrid,40.4167047,-3.7035825,Madrid
32,Basque Culinary Center - Cu…,Spain,San Sebastian,43.3224219,-1.9838889,San Sebastián/Donostia
33,BBVA Spark,Spain,Madrid,40.4167047,-3.7035825,Madrid
34,BEAZ,Spain,Bilbao,43.2630018,-2.9350039,Bilbao
35,"Berkeley SkyDeck Europe, M…",Italy,Milan,45.4641943,9.1896346,Milano
36,Berlin Founders Fund by Sili…,Germany,Berlin,52.510885,13.3989367,Berlin
37,Berlin Innovation Agency,Germany,Berlin,52.510885,13.3989367,Berlin
38,BerriUp,Spain,San Sebastian,43.3224219,-1.9838889,San Sebastián/Donostia
