University,Country,Latitude,Longitude,Closest FUA
Université PSL,France,48.854654,2.3378386,Paris
Technical University of Munich,Germany,48.265506,11.6693359,München
Lund University,Sweden,55.7126504,13.2107587,Malmö
Delft University of Technology,Netherlands,51.9988273,4.3739604,'s-Gravenhage
University of Amsterdam,Netherlands,52.3681334,4.8898042,Amsterdam
Ruprecht-Karls-Universität Heidelberg,Germany,49.4186002,8.6692402,Heidelberg
Ludwig-Maximilians-Universität München,Germany,48.1504757,11.5798356,München
Institut Polytechnique de Paris,France,48.7139028,2.2141074,Paris
Uppsala University,Sweden,59.8617859,17.6376705,Uppsala
"Trinity College Dublin, The University of Dublin",Ireland,53.33306,-6.24889,Dublin
KTH Royal Institute of Technology ,Sweden,59.2016758,17.6203201,Stockholm
KU Leuven,Belgium,50.8057128,3.2915374,Kortrijk
Université Paris-Saclay,France,48.7123933,2.172585,Paris
Sorbonne University,France,48.8468997,2.3574487,Paris
University of Copenhagen,Denmark,55.6801502,12.572327,København
Politecnico di Milano,Italy,45.0468832,9.7030881,Piacenza
Utrecht University,Netherlands,52.0870179,5.1801005,Utrecht
Aalto University,Finland,60.1860789,24.8281018,Helsinki/Helsingfors
University of Vienna,Austria,48.2131469,16.35997,Wien
Freie Universitaet Berlin,Germany,52.4528564,13.2907249,Berlin
Stockholm University,Sweden,59.366141,18.059593,Stockholm
Technische Universität Berlin (TU Berlin),Germany,52.5110158,13.3269541,Berlin
University of Helsinki,Finland,60.226722,25.01767,Helsinki/Helsingfors
Ghent University,Belgium,51.0078484,3.7108831,Gent
Alma Mater Studiorum - University of Bologna,Italy,44.4982886,11.354457,Bologna
University College Dublin,Ireland,53.3068763,-6.2246251,Dublin
Leiden University,Netherlands,52.1686355,4.4597028,Leiden
Aarhus University,Denmark,56.1670905,10.2026177,Århus
Universitat de Barcelona,Spain,41.3868595,2.1634784,Barcelona
University of Groningen,Netherlands,53.2194415,6.5629863,Groningen
Wageningen University & Research,Netherlands,51.985445,5.663212,Veenendaal
RWTH Aachen University,Germany,50.7791657,6.0689209,Aachen
"KIT, Karlsruhe Institute of Technology",Germany,49.00944,8.41167,Karlsruhe
Complutense University of Madrid,Spain,40.42526,-3.69063,Madrid
Erasmus University Rotterdam ,Netherlands,51.9229232,4.4876249,Rotterdam
Sapienza University of Rome,Italy,41.89193,12.51133,Roma
Universitat Autònoma de Barcelona,Spain,41.5015527,2.1062607,Barcelona
Humboldt-Universität zu Berlin,Germany,52.5183402,13.3929202,Berlin
Technical University of Denmark,Denmark,55.7854145,12.5202151,København
University of Gothenburg,Sweden,57.6985465,11.9712422,Göteborg
Universidad Autónoma de Madrid,Spain,40.5453765,-3.6949578,Madrid
Université catholique de Louvain (UCLouvain),Belgium,50.8214382,4.3499855,Mechelen
